rankid,rank,song,artist,year
"238","38","A Whiter Shade of Pale","Procol Harum","1967"
"239","39","Don't You Care","The Buckinghams","1967"
"240","40","Then You Can Tell Me Goodbye","The Casinos","1967"
"241","41","Reflections","The Supremes","1967"
"242","42","On a Carousel","The Hollies","1967"
"243","43","Please Love Me Forever","Bobby Vinton","1967"
"244","44","Alfie","Dionne Warwick","1967"
"245","45","Silence Is Golden","The Tremeloes","1967"
"246","46","My Cup Runneth Over","Ed Ames","1967"
"247","47","Up, Up and Away","The 5th Dimension","1967"
"248","48","San Francisco (Be Sure to Wear Flowers in Your Hair)","Scott McKenzie","1967"
"249","49","The Rain, The Park & Other Things","The Cowsills","1967"
"250","50","There's a Kind of Hush","Herman's Hermits","1967"
"251","51","Mercy, Mercy, Mercy","The Buckinghams","1967"
"252","52","This Is My Song","Petula Clark","1967"
"253","53","(Your Love Keeps Lifting Me) Higher and Higher","Jackie Wilson","1967"
"254","54","I've Been Lonely Too Long","The Young Rascals","1967"
"255","55","Penny Lane","The Beatles","1967"
"256","56","You're My Everything","The Temptations","1967"
"257","57","Georgy Girl","The Seekers","1967"
"258","58","Western Union","Five Americans","1967"
"259","59","Baby I Love You","Aretha Franklin","1967"
"260","60","A Little Bit Me, a Little Bit You","The Monkees","1967"
"261","61","California Nights","Lesley Gore","1967"
"262","62","Dedicated to the One I Love","The Mamas & the Papas","1967"
"263","63","How Can I Be Sure","The Young Rascals","1967"
"264","64","Carrie Anne","The Hollies","1967"
"265","65","(We Ain't Got) Nothin' Yet","Blues Magoos","1967"
"266","66","Friday on My Mind","The Easybeats","1967"
"267","67","Soul Finger","The Bar-Kays","1967"
"268","68","Gimme Some Lovin'","The Spencer Davis Group","1967"
"269","69","Let It Out (Let It All Hang Out)","The Hombres","1967"
"270","70","Let's Live for Today","The Grass Roots","1967"
"271","71","Close Your Eyes","Peaches & Herb","1967"
"272","72","Groovin'","Booker T & the M.G.'s","1967"
"273","73","Funky Broadway","Wilson Pickett","1967"
"274","74","Pleasant Valley Sunday","The Monkees","1967"
"275","75","I Never Loved a Man (The Way I Love You)","Aretha Franklin","1967"
"276","76","Tell It Like It Is","Aaron Neville","1967"
"277","77","Cold Sweat","James Brown","1967"
"278","78","She'd Rather Be with Me","The Turtles","1967"
"279","79","98.6","Keith","1967"
"280","80","Here We Go Again","Ray Charles","1967"
"281","81","White Rabbit","Jefferson Airplane","1967"
"282","82","Bernadette","Four Tops","1967"
"283","83","The Beat Goes On","Sonny & Cher","1967"
"284","84","Snoopy Vs. The Red Baron","The Royal Guardsmen","1967"
"285","85","Society's Child","Janis Ian","1967"
"286","86","Girl, You'll Be a Woman Soon","Neil Diamond","1967"
"287","87","Ain't No Mountain High Enough","Marvin Gaye & Tammi Terrell","1967"
"288","88","I Take It Back","Sandy Posey","1967"
"289","89","Here Comes My Baby","The Tremeloes","1967"
"290","90","Everlasting Love","Robert Knight","1967"
"291","91","I Dig Rock and Roll Music","Peter, Paul and Mary","1967"
"292","92","Little Ole Man (Uptight, Everything's Alright)","Bill Cosby","1967"
"293","93","I Had Too Much to Dream (Last Night)","The Electric Prunes","1967"
"294","94","Daydream Believer","The Monkees","1967"
"295","95","Baby I Need Your Lovin'","Johnny Rivers","1967"
"296","96","Mirage","Tommy James and the Shondells","1967"
"297","97","Green, Green Grass of Home","Tom Jones","1967"
"298","98","I Can See for Miles","The Who","1967"
"299","99","Don't Sleep in the Subway","Petula Clark","1967"
"300","100","Thank the Lord for the Night Time","Neil Diamond","1967"
"301","1","Hey Jude","The Beatles","1968"
"302","2","Love is Blue","Paul Mauriat","1968"
"303","3","Honey","Bobby Goldsboro","1968"
"304","4","(Sittin' On) The Dock of the Bay","Otis Redding","1968"
"305","5","People Got to Be Free","The Rascals","1968"
"306","6","Sunshine of Your Love","Cream","1968"
"307","7","This Guy's in Love With You","Herb Alpert","1968"
"308","8","The Good, the Bad and the Ugly","Hugo Montenegro","1968"
"309","9","Mrs. Robinson","Simon & Garfunkel","1968"
"310","10","Tighten Up","Archie Bell & the Drells","1968"
"311","11","Harper Valley PTA","Jeannie C. Riley","1968"
"312","12","Little Green Apples","O. C. Smith","1968"
"313","13","Mony Mony","Tommy James and the Shondells","1968"
"314","14","Hello, I Love You","The Doors","1968"
"315","15","Young Girl","Gary Puckett & The Union Gap","1968"
"316","16","Cry Like a Baby","The Box Tops","1968"
"317","17","Stoned Soul Picnic","The 5th Dimension","1968"
"318","18","Grazing in the Grass","Hugh Masekela","1968"
"319","19","Midnight Confessions","The Grass Roots","1968"
"320","20","Dance to the Music","Sly & the Family Stone","1968"
"321","21","The Horse","Cliff Nobles","1968"
"322","22","I Wish It Would Rain","The Temptations","1968"
"323","23","La-La (Means I Love You)","The Delfonics","1968"
"324","24","Turn Around, Look at Me","The Vogues","1968"
"325","25","Judy in Disguise (With Glasses)","John Fred & His Playboy Band","1968"
"326","26","Spooky","Classics IV","1968"
"327","27","Love Child","The Supremes","1968"
"328","28","Angel of the Morning","Merrilee Rush","1968"
"329","29","The Ballad of Bonnie and Clyde","Georgie Fame","1968"
"330","30","Those Were the Days","Mary Hopkin","1968"
"331","31","Born to Be Wild","Steppenwolf","1968"
"332","32","Cowboys to Girls","The Intruders","1968"
"333","33","Simon Says","1910 Fruitgum Company","1968"
"334","34","Lady Willpower","Gary Puckett & The Union Gap","1968"
"335","35","A Beautiful Morning","The Rascals","1968"
"336","36","The Look of Love","Sérgio Mendes","1968"
